,map_file,richness,speciation,time
260,contrived_500_0.2_1024.tif,1521,False,2596.0
261,contrived_500_0.2_1024.tif,1523,False,2597.0
262,contrived_500_0.2_1024.tif,1533,False,2598.0
263,contrived_500_0.2_1024.tif,1525,False,2599.0
264,map_500_0.2_1.tif,218,True,0.0
265,map_500_0.2_1.tif,227,True,100.0
266,map_500_0.2_1.tif,230,True,200.0
267,map_500_0.2_1.tif,229,True,300.0
268,map_500_0.2_1.tif,241,True,400.0
269,map_500_0.2_1.tif,233,True,500.0
270,map_500_0.2_1.tif,236,True,600.0
271,map_500_0.2_1.tif,233,True,700.0
272,map_500_0.2_1.tif,238,True,800.0
273,map_500_0.2_1.tif,247,True,900.0
274,map_500_0.2_1.tif,245,True,1000.0
275,map_500_0.2_1.tif,254,True,1100.0
276,map_500_0.2_1.tif,269,True,1200.0
277,map_500_0.2_1.tif,284,True,1300.0
278,map_500_0.2_1.tif,283,True,1400.0
279,map_500_0.2_1.tif,284,True,1500.0
280,map_500_0.2_1.tif,298,True,1600.0
281,map_500_0.2_1.tif,328,True,1700.0
282,map_500_0.2_1.tif,343,True,1800.0
283,map_500_0.2_1.tif,357,True,1900.0
284,map_500_0.2_1.tif,399,True,2000.0
285,map_500_0.2_1.tif,419,True,2100.0
286,map_500_0.2_1.tif,458,True,2200.0
287,map_500_0.2_1.tif,559,True,2300.0
288,map_500_0.2_1.tif,690,True,2400.0
289,map_500_0.2_1.tif,1320,True,2500.0
290,map_500_0.2_1.tif,1493,True,2600.0
291,map_500_0.2_1.tif,1514,True,2700.0
292,map_500_0.2_1.tif,1190,True,2495.0
293,map_500_0.2_1.tif,1200,True,2496.0
294,map_500_0.2_1.tif,1226,True,2497.0
295,map_500_0.2_1.tif,1244,True,2498.0
296,map_500_0.2_1.tif,1282,True,2499.0
297,map_500_0.2_1.tif,1512,True,2501.0
298,map_500_0.2_1.tif,1507,True,2502.0
299,map_500_0.2_1.tif,1505,True,2503.0
300,map_500_0.2_1.tif,1505,True,2504.0
301,map_500_0.2_1.tif,1513,True,2505.0
302,map_500_0.2_1.tif,1497,True,2506.0
303,map_500_0.2_1.tif,1501,True,2507.0
304,map_500_0.2_1.tif,1507,True,2508.0
305,map_500_0.2_1.tif,1508,True,2509.0
306,map_500_0.2_1.tif,1516,True,2510.0
307,map_500_0.2_1.tif,1513,True,2511.0
308,map_500_0.2_1.tif,1524,True,2512.0
309,map_500_0.2_1.tif,1526,True,2513.0
